material_id;diameter;body_length;wall_thickness;laminate;shoulder;closure;closure_material;packaging_code;lacquer;printing_document;customer_id
268238;19.0;83;0.4;;K-0900001015;HC0918015002;611341;VPU035;LAXXXX;PDXXXXXX;100643
268239;19.0;91;0.4;;N-1110002025;H-1119050M02;617577;VPU035;LA0173;PD070008;100643
268249;35.0;98;0.5;;P-2100Z00100;VS2134030M05;614585;VK35101;LA0173;PD050836;100453
268269;19.0;58;0.5;PF0109D;N-1100000008;HI1119057001;221749;VP0190;LA0180;PD058413;100583
268283;40.0;165;0.5;;P-2100Z01100;VS2138040004;612983;VPU050;LA0142;PDXXXXXX;101111
268288;50.0;210;0.5;PF0404;N-2200000090;HI2248150003;605483;VK50401;LA0173;PD050873;100453
268295;13.5;50;0.3;PF0405;K-060A000011;HC0613011001;606562;VK13101;LA0180;PD050878;100354
268301;35.0;90;0.5;;P-2100Z01100;VS2135030M01;607952;VPU045;LA0143;PDXXXXXX;100643
268330;35.0;100;0.5;PF0116;P-2100Z00100;VS2134030002;605141;VK35101;LA0180;PD050881;101630
268336;19.0;105;0.4;;K-0900003022;HR0915022R01;615969;VPU035;LA0172;PD053541;101311
268338;50.0;155;0.5;;N-2200007030;HS2248030005;609445;VPU147;LA0142;;101616
268402;19.0;85;0.5;PF0116;N-1100000030;HI1119057R01;240353;VK19201;LA0180;PD057320;100807
268403;19.0;83;0.4;;K-0900001015;HC0918015M02;612809;VPU035;LA0143;PDXXXXXX;100643
268454;13.5;50;0.3;PF0109D;K-0600000011;HC0609011R02;229654;VP0186;LA0180;PD050904;100583
268455;13.5;50;0.3;PF0109D;K-0600000011;HC0609011R02;229654;VP0186;LA0180;PD050905;100583
268484;16.0;45;0.4;;K-060A000011;HF0611011001;617738;VPU175;LA0172;PD050920;101243
268490;19.0;105;0.4;;K-0900004022;HR0915022R01;615969;VPU035;LA0172;PD054296;101311
268502;16.0;45;0.4;;K-060A000011;HF0611011001;617738;VPU175;LA0172;PD050919;101243
268503;16.0;45;0.4;;K-060A000011;HF0611011001;617738;VPU175;LA0172;PD050918;101243
268504;16.0;45;0.4;;K-060A000011;HF0611011001;617738;VPU175;LA0172;PD070137;101243
268505;16.0;45;0.4;;K-060A000011;HF0611011001;617738;VPU175;LA0172;PD050921;101243
268506;16.0;45;0.4;;K-060A000011;HF0611011001;617738;VPU175;LA0172;PD050922;101243
268507;16.0;45;0.4;;K-060A000011;HF0611011001;617738;VPU175;LA0172;PD050923;101243
268551;19.0;65;0.4;;N-1110002025;H-1119050002;607597;VPU035;LA0172;PD050938;100468
268562;30.0;110;0.5;PF0413;N-150GSF0040;HG1529060Z02;607663;VP0712;LA0161;PD060239;101375
268563;35.0;150;0.5;PF0413;N-150GSF0040;HG1534060Z01;232027;VP0246;LA0161;PD060500;101375
268568;25.0;103;0.5;PF0404;N-18000F0040;HF1825040R02;611612;VP0294;LA0180;PD050954;100453
268580;19.0;85;0.5;PF0116;N-1110000020;HI1119057M02;608902;VP0615;LA0174;PD049686;100427
268581;19.0;85;0.5;PF0116;N-1100000015;;;VP0615;LA0170;PD049656;100427
268582;50.0;175;0.5;;P-2100Z01100;VS2148030M08;615504;VPU054;LA0143;PD050962;100646
268583;50.0;175;0.5;;P-2100Z01100;VS2148030M08;615504;VPU054;LA0143;PD050963;100646
268618;30.0;110;0.5;PF0413;N-150GSF0040;HG1529060Z02;607663;VP0712;LA0161;PD056029;101375
268619;35.0;150;0.5;PF0413;N-150GSF0040;HG1534060Z01;232027;VP0246;LA0161;PD056030;101375
268620;30.0;140;0.5;PF0404;N-18000F0040;HF1825040R02;611612;VP0292;LA0180;PD050976;100453
268622;50.0;165;0.5;PF0116;P-2100Z00100;VS2148015003;610953;VS50101;LA0180;PD050794;100427
268626;35.0;95;0.5;PF0116;N-1510000050;HI1535057M02;610934;VP0524;LA0174;PD050909;100427
268627;35.0;125;0.5;PF0116;N-15D0000030;HS1535030M02;610768;VP0524;LA0174;PD048404;100427
268629;50.0;165;0.5;PF0116;P-2100Z00100;VS2148015003;614533;VS50101;LA0180;PD044051;100427
268636;50.0;160;0.5;;P-2100Z01100;VS2148030M07;608145;VPU054;LA0142;PD050983;101205
268726;25.0;103;0.5;PF0404;N-18000F0040;HF1825040R02;611612;VP0294;LA0180;PD051007;100453
268741;30.0;85;0.5;;N-15D0001030;HS1529030001;607912;VPU041;LA0172;PD053675;101605
268754;35.0;120;0.5;;P-2100Z01100;VS2134020002;615727;VPU047;LA0144;PDXXXXXX;101605
268801;19.0;58;0.5;PF0109D;N-1100000015;HI1119057001;221749;VP0190;LA0180;PD051039;100583
268802;25.0;120;0.4;;P-1400000106;VP1424020001;617211;VPU038;LA0143;PD051040;101517
268835;13.5;47;0.3;PF0405;K-060GZ00009;HC0614009G02;606376;VP0510;LA0180;PD051045;100327
268839;13.5;62;0.3;PF0405;K-060GZ00009;HC0614009G02;606376;VP0511;LA0180;PD051046;100327
268841;13.5;62;0.3;PF0405;K-060GZ00009;HC0614009G02;606376;VP0511;LA0180;PD051047;100327
268843;13.5;62;0.3;PF0405;K-060GZ00009;HC0614009G02;606376;VP0511;LA0180;PD051048;100327
268853;50.0;160;0.5;;P-2100Z01100;VS2148030002;613169;VPU054;LA0142;PD051051;101111
268854;50.0;160;0.5;;P-2100Z01100;VS2148030002;613169;VPU054;LA0142;PD051052;101111
268855;50.0;130;0.5;;P-2100Z01100;VS2148030002;613169;VPU052;LA0142;PD051053;101111
268875;19.0;58;0.5;PF0109C;N-1100000015;HI1119057001;201116;VP0190;LA0172;PD051055;100583
268886;25.0;80;0.4;;N-1110002015;HI1125040M04;611667;VPU037;LA0143;PD051057;100643
268887;25.0;80;0.4;;N-1110002015;HI1125040M04;611667;VPU037;LA0143;PD051058;100643
268912;25.0;125;0.35;PF0116;N-0900000030;H-0916040003;615189;VK25601;LA0180;PD052507;100332
268961;40.0;170;0.5;;P-2100Z01100;VS2138030004;609241;VPU051;LA0142;PDXXXXXX;101605
268962;40.0;170;0.5;;P-2100Z01100;VS2138030M04;608342;VPU050;LA0142;PDXXXXXX;101605
